league,club,country_code,level,elo,snapshot_date,fetched_at,source
Championship,Charlton,ENG,2,1447.28820801,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Oxford,ENG,2,1436.62145996,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Championship,Sheffield Weds,ENG,2,1381.8572998,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Sporting,POR,1,1821.43566895,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Benfica,POR,1,1807.31542969,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Porto,POR,1,1776.61352539,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Braga,POR,1,1672.9810791,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Guimaraes,POR,1,1558.51293945,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Famalicao,POR,1,1533.05029297,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Gil Vicente,POR,1,1505.74255371,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Moreirense,POR,1,1504.05517578,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Estoril,POR,1,1489.82861328,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Rio Ave,POR,1,1467.39477539,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Santa Clara,POR,1,1466.49963379,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Arouca,POR,1,1430.8001709,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Casa Pia,POR,1,1425.62988281,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Estrela Amadora,POR,1,1422.3840332,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Nacional,POR,1,1419.8939209,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Alverca,POR,1,1409.24890137,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,Tondela,POR,1,1371.34643555,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Primeira_Liga,AVS Futebol,POR,1,1307.43383789,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,PSV,NED,1,1807.53601074,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Feyenoord,NED,1,1618.62084961,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Ajax,NED,1,1603.22009277,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Alkmaar,NED,1,1562.84875488,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Twente,NED,1,1538.77331543,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Utrecht,NED,1,1520.79321289,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Nijmegen,NED,1,1516.74389648,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Heerenveen,NED,1,1454.88452148,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Go Ahead Eagles,NED,1,1444.50915527,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Sparta Rotterdam,NED,1,1442.28833008,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Groningen,NED,1,1421.38793945,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Zwolle,NED,1,1410.74414062,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Sittard,NED,1,1403.77075195,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Heracles,NED,1,1354.54284668,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Telstar,NED,1,1333.4050293,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Excelsior,NED,1,1332.22033691,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Eredivisie,Breda,NED,1,1320.17687988,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
