player_id,player_name,tm_player_id,tm_player_name,confidence,verified,tm_team_name
244560.0,Aleksandr Golovin,,Aleksandr Golovin,100.0,auto,AS Monaco
401168.0,Mikkel Damsgaard,,Mikkel Damsgaard,100.0,auto,Brentford FC
322671.0,Gauthier Hein,,Gauthier Hein,100.0,auto,FC Metz
339674.0,Mathias Jensen,,Mathias Jensen,100.0,auto,Brentford FC
327905.0,Alexis Claude-Maurice,,Alexis Claude-Maurice,100.0,auto,FC Augsburg
344542.0,Brais Méndez,,Brais Méndez,100.0,auto,Real Sociedad
332867.0,Morgan Gibbs-White,,Morgan Gibbs-White,100.0,auto,Nottingham Forest
484175.0,Yankuba Minteh,,Yankuba Minteh,100.0,auto,Brighton & Hove Albion
444748.0,Jean-Mattéo Bahoya,,Jean-Mattéo Bahoya,100.0,auto,Eintracht Frankfurt
361878.0,Wouter Burger,,Wouter Burger,100.0,auto,TSG 1899 Hoffenheim
108226.0,Mohamed Salah,,Mohamed Salah,100.0,auto,Liverpool FC
353377.0,Bryan Mbeumo,,Bryan Mbeumo,100.0,auto,Manchester United
395692.0,Cole Palmer,,Cole Palmer,100.0,auto,Chelsea FC
430704.0,Arijon Ibrahimovic,,Arijon Ibrahimovic,100.0,auto,1.FC Heidenheim 1846
422737.0,Ernest Poku,,Ernest Poku,100.0,auto,Bayer 04 Leverkusen
438349.0,Diego Moreira,,Diego Moreira,100.0,auto,RC Strasbourg Alsace
349125.0,Nikolas Nartey,,Nikolas Nartey,100.0,auto,VfB Stuttgart
106596.0,Sergi Darder,,Sergi Darder,100.0,auto,RCD Mallorca
391256.0,Kiernan Dewsbury-Hall,,Kiernan Dewsbury-Hall,100.0,auto,Everton FC
121192.0,Vincenzo Grifo,,Vincenzo Grifo,100.0,auto,SC Freiburg
436553.0,Igor Paixão,,Igor Paixão,100.0,auto,Olympique Marseille
231125.0,Viktor Tsygankov,,Viktor Tsygankov,100.0,auto,Girona FC
136824.0,Alex Iwobi,,Alex Iwobi,100.0,auto,Fulham FC
332325.0,Declan Rice,,Declan Rice,100.0,auto,Arsenal FC
369875.0,Dominik Szoboszlai,,Dominik Szoboszlai,100.0,auto,Liverpool FC
395321.0,Aimar Oroz,,Aimar Oroz,100.0,auto,CA Osasuna
137837.0,Franck Honorat,,Franck Honorat,100.0,auto,Borussia Mönchengladbach
392646.0,Karim Adeyemi,,Karim Adeyemi,100.0,auto,Borussia Dortmund
465388.0,João Neves,,João Neves,100.0,auto,Paris Saint-Germain
427283.0,Abde Ezzalzouli,,Abde Ezzalzouli,100.0,auto,Real Betis Balompié
394924.0,Fábio Vieira,,Fábio Vieira,100.0,auto,Hamburger SV
344644.0,Federico Valverde,,Federico Valverde,100.0,auto,Real Madrid
262856.0,Xaver Schlager,,Xaver Schlager,100.0,auto,RB Leipzig
532577.0,Johan Manzambi,,Johan Manzambi,100.0,auto,SC Freiburg
462111.0,Pape Diop,,Pape Demba Diop,85.5,auto,FC Toulouse
288883.0,Maxime Lopez,,Maxime Lopez,100.0,auto,Paris FC
406937.0,Carlos Álvarez,,Carlos Álvarez,100.0,auto,Levante UD
69344.0,Christian Eriksen,,Christian Eriksen,100.0,auto,VfL Wolfsburg
361284.0,Sofiane Diop,,Sofiane Diop,100.0,auto,OGC Nice
357073.0,Antoine Semenyo,,Antoine Semenyo,100.0,auto,Manchester City
350088.0,Callum Hudson-Odoi,,Callum Hudson-Odoi,100.0,auto,Nottingham Forest
444725.0,Farès Chaïbi,,Farès Chaïbi,100.0,auto,Eintracht Frankfurt
422918.0,Giuliano Simeone,,Giuliano Simeone,100.0,auto,Atlético de Madrid
381550.0,Rubén Vargas,,Rubén Vargas,100.0,auto,Sevilla FC
132962.0,Thomas Lemar,,Thomas Lemar,100.0,auto,Girona FC
444755.0,Kévin Danois,,Kévin Danois,100.0,auto,AJ Auxerre
464952.0,Peque Fernández,,Peque Fernández,100.0,auto,Sevilla FC
401107.0,Paul Nebel,,Paul Nebel,100.0,auto,1.FSV Mainz 05
438351.0,Martim Neto,,Martim Neto,100.0,auto,Elche CF
447584.0,Joel Chima Fujita,,Joel Chima Fujita,100.0,auto,FC St. Pauli
401073.0,Anton Stach,,Anton Stach,100.0,auto,Leeds United
548106.0,Víctor Muñoz,,Víctor Muñoz,100.0,auto,CA Osasuna
279320.0,Luis Milla,,Luis Milla,100.0,auto,Getafe CF
343382.0,Tijjani Reijnders,,Tijjani Reijnders,100.0,auto,Manchester City
581683.0,Jan Virgili,,Jan Virgili,100.0,auto,RCD Mallorca
398922.0,Tyrhys Dolan,,Tyrhys Dolan,100.0,auto,RCD Espanyol Barcelona
